"","Renovate1","EatIn1","FeeNo","Prewar1","Dining1","Dishwasher1","Marble1","HighCeiling1","Hardwood1","Deck1","Elevator1","LaundryNone","Cat1"
"262",0,0,1,0,0,0,0,0,0,1,0,1,1
"263",1,0,1,0,1,1,0,0,1,1,1,0,1
"272",0,0,0,0,0,0,0,0,0,0,0,1,0
"275",0,0,0,0,0,0,0,0,0,0,0,1,1
"277",0,0,0,0,0,1,0,0,0,0,1,0,1
"279",0,1,1,0,0,0,0,1,1,1,0,0,0
"280",1,1,1,0,0,1,1,0,1,0,1,1,0
"282",1,0,0,0,0,1,0,0,1,0,1,0,0
"283",1,1,0,1,0,0,0,0,0,0,1,0,0
"284",0,0,0,0,0,1,0,0,1,0,1,0,0
"289",0,0,0,0,0,1,0,0,1,0,1,1,1
"291",0,0,0,1,0,0,0,0,0,0,0,1,1
"292",1,0,0,0,0,0,0,0,0,0,1,0,1
"293",1,0,1,0,1,1,0,0,1,1,1,0,1
"295",0,1,0,0,0,1,0,0,1,1,0,1,1
"296",1,1,0,0,0,1,0,0,1,0,1,0,1
"303",0,1,1,0,1,1,1,0,1,1,1,0,1
"304",1,1,0,0,0,0,0,0,0,0,0,1,1
"305",0,1,1,0,1,1,0,0,1,0,1,0,0
"309",1,0,0,0,0,0,0,0,0,0,0,1,0
"311",0,0,0,0,0,0,0,0,1,0,0,1,0
"312",0,1,0,0,0,1,0,0,0,0,1,0,1
"313",0,0,0,1,0,0,0,0,1,0,1,0,0
"314",0,1,0,0,0,0,0,0,0,0,0,1,0
"315",0,0,0,0,0,1,0,0,0,0,1,0,1
"320",0,1,0,1,0,1,0,0,0,0,0,1,0
"322",0,1,0,0,0,1,0,0,1,0,0,0,1
"323",0,1,1,0,0,0,0,0,0,0,0,1,0
"325",1,1,0,0,0,0,0,0,0,0,0,1,0
"332",0,0,1,1,0,1,0,0,1,0,0,1,0
"333",0,1,0,0,0,0,0,0,0,0,1,1,1
"335",1,0,0,0,0,0,0,0,0,0,0,1,0
"336",0,1,0,1,0,1,0,0,1,0,0,0,1
"337",0,0,0,1,0,1,0,0,1,0,0,0,1
"338",1,1,0,0,0,0,0,1,1,0,0,1,0
"340",0,0,0,0,1,1,0,0,1,0,1,0,0
"341",0,1,0,0,0,1,1,0,1,0,0,1,1
"343",0,1,1,0,0,0,0,0,0,1,0,1,1
"344",1,0,1,1,0,1,0,0,1,0,0,1,0
"348",0,0,0,0,0,0,0,0,0,0,0,1,0
"351",0,1,1,0,1,1,0,0,1,0,0,0,0
"355",0,0,1,0,0,1,0,0,1,0,0,0,0
"356",0,0,0,0,0,0,0,0,1,0,0,1,0
"359",0,1,0,0,0,0,0,1,1,0,1,1,1
"360",0,1,0,1,0,0,0,0,1,0,1,1,1
"361",0,1,1,0,0,0,0,0,0,0,1,1,0
"362",0,0,0,0,0,0,0,0,0,0,0,1,0
"365",0,1,0,0,0,0,0,0,0,1,0,1,0
"370",0,0,0,0,0,0,0,0,1,0,1,0,0
"373",0,0,1,0,0,1,0,0,1,0,1,0,0
"374",0,0,1,0,0,1,0,0,1,0,0,1,0
"375",0,1,0,1,1,0,0,1,0,0,1,1,1
"377",0,1,0,0,0,0,0,0,0,0,0,1,1
"379",0,1,0,1,1,1,0,1,1,0,1,0,1
"380",0,0,0,0,0,0,0,0,0,0,0,1,0
"381",0,0,0,0,0,1,0,0,0,0,1,0,1
"383",1,0,0,0,0,1,1,0,1,0,1,0,0
"386",0,1,1,0,0,0,0,0,0,0,1,0,0
"387",0,0,0,0,0,1,0,0,1,0,0,1,0
"390",0,1,1,1,0,0,0,0,1,0,0,1,0
"392",0,1,1,0,1,1,0,0,1,0,1,0,0
"393",0,1,0,0,0,0,0,1,1,0,0,1,1
"394",1,1,0,0,0,0,1,1,1,0,1,0,1
"396",1,1,0,1,0,0,0,0,1,0,0,1,1
"397",0,0,0,0,0,0,0,0,0,0,0,1,0
"398",0,1,0,1,0,1,1,0,1,1,1,0,1
"408",0,0,1,1,0,1,0,0,0,0,0,0,1
"409",0,0,1,1,0,0,0,0,0,0,0,1,0
"412",0,1,0,0,1,0,0,0,1,0,1,1,0
"415",0,0,0,0,1,1,0,0,1,1,1,0,0
"417",0,1,0,0,0,1,0,0,1,0,1,1,0
"419",0,0,0,0,0,0,0,0,0,0,1,0,1
"424",0,0,1,0,1,1,0,0,1,0,0,0,1
"425",0,1,1,1,0,1,0,1,1,1,1,0,0
"437",0,1,0,1,0,0,0,1,1,1,0,1,0
"438",0,1,0,0,0,0,0,0,0,0,0,1,0
"440",1,0,1,0,1,1,0,0,1,0,1,0,0
"441",0,0,0,0,1,1,0,0,1,0,1,0,0
"442",1,0,0,0,0,0,0,0,0,0,1,0,1
"444",0,0,0,0,0,0,0,0,0,0,0,1,0
"445",1,1,1,0,0,1,0,1,1,1,0,0,1
"446",0,0,0,0,0,0,0,0,0,0,0,0,0
"447",0,1,0,0,0,0,0,1,0,0,0,1,1
"449",0,1,0,0,0,1,1,0,1,0,0,0,1
"451",0,0,1,0,1,1,0,0,1,1,1,0,0
"454",0,1,0,0,0,1,0,0,1,0,1,0,1
"458",1,1,0,1,0,0,1,0,0,0,0,1,0
"465",0,1,1,0,0,0,0,1,1,1,0,0,1
"466",1,1,1,1,1,1,0,0,1,1,1,0,0
"471",0,1,0,0,0,0,0,1,1,0,1,0,0
"472",1,1,1,1,0,1,1,1,0,0,0,1,1
"473",0,0,0,1,0,0,0,0,0,0,1,1,1
"474",0,1,0,1,0,1,0,0,1,0,1,0,1
"476",0,0,0,0,0,1,0,0,0,1,1,0,1
"479",0,1,1,0,1,1,1,0,1,0,1,0,0
"480",0,0,0,0,0,0,0,0,0,1,1,1,1
"481",1,1,0,0,0,0,0,0,1,0,0,0,1
"482",0,1,0,0,0,1,0,0,1,0,0,1,1
"483",0,0,0,1,0,0,0,0,0,0,0,1,1
"484",1,1,0,0,0,1,0,0,1,1,1,0,0
"486",0,1,0,0,0,0,1,0,0,0,1,1,1
"487",0,0,0,0,1,1,0,0,1,0,1,0,0
"490",1,1,1,1,1,1,1,0,1,1,1,0,0
"491",0,1,0,0,0,1,0,0,1,0,1,1,1
"494",0,0,0,0,0,0,0,0,0,0,1,0,0
"498",0,0,0,0,0,1,0,0,1,0,1,0,0
"499",0,1,0,1,0,0,0,0,1,0,1,1,0
"500",0,0,0,0,0,0,0,0,0,0,1,1,0
"506",0,0,0,0,0,0,0,0,0,0,0,1,1
"509",0,1,1,0,0,0,0,0,0,1,0,1,1
"510",0,1,1,0,0,1,1,0,1,1,1,0,0
"511",1,0,1,0,0,1,0,0,1,1,1,0,0
"513",0,1,0,0,0,1,1,1,1,0,0,0,1
"514",0,0,0,0,0,0,0,0,1,0,0,1,0
"515",0,0,0,0,0,1,0,0,1,0,1,1,0
"518",1,1,1,1,1,1,1,0,0,0,0,1,0
"519",1,0,1,1,0,1,0,0,1,0,1,0,1
"521",1,0,1,0,1,1,1,1,1,0,0,0,1
"529",0,0,0,1,0,0,0,0,0,0,0,1,1
"530",1,0,1,0,1,1,0,0,1,1,1,0,1
"534",0,0,0,0,0,0,0,0,1,0,0,1,0
"535",1,1,0,0,0,0,0,1,0,0,0,1,1
"536",0,1,0,0,0,1,0,0,1,0,1,0,0
"537",1,1,0,1,0,0,0,0,1,0,0,1,0
"538",0,1,0,0,0,0,0,0,1,0,1,1,0
"542",0,1,0,1,0,0,0,0,1,0,1,0,1
"548",1,1,0,1,0,0,0,0,1,0,0,1,1
"554",0,1,1,0,0,1,0,0,1,0,0,1,0
"555",0,1,0,0,0,0,0,0,1,0,0,1,0
"557",0,0,0,0,0,0,0,0,0,0,0,1,0
"558",0,0,0,1,0,1,0,0,1,0,0,1,0
"561",0,1,0,0,0,0,0,0,0,0,0,1,1
"563",0,1,0,1,0,0,0,0,0,0,0,0,1
"564",0,0,1,1,1,1,1,0,1,1,1,0,1
"567",0,1,0,1,0,0,0,0,1,0,0,1,0
"568",0,0,0,0,0,0,0,0,0,0,0,1,0
"569",0,1,0,0,0,0,0,0,0,1,1,1,1
"571",0,0,0,0,0,1,0,0,0,0,1,0,1
"572",1,1,0,0,0,1,0,0,1,0,0,0,0
"573",0,0,0,0,0,0,0,0,0,0,1,1,1
"576",0,0,1,0,0,0,1,0,0,1,1,1,0
"577",0,0,0,0,0,0,0,0,0,0,0,1,0
"582",1,1,0,0,1,1,1,0,1,0,1,0,0
"585",1,0,0,0,0,0,0,0,1,0,0,0,0
"587",1,0,0,1,0,1,0,0,1,0,0,0,0
"589",0,0,0,0,0,1,1,1,1,0,0,1,0
"590",0,1,0,0,0,0,0,0,0,0,0,1,1
"592",1,1,0,0,0,1,0,0,1,0,0,0,0
"597",0,1,0,0,0,0,0,0,1,0,0,1,0
"598",0,1,0,0,0,0,0,1,1,0,1,0,1
"599",1,1,1,0,0,1,0,1,1,0,0,1,1
"600",1,1,0,1,0,0,1,0,1,1,0,1,1
"604",1,1,0,0,0,0,0,0,1,0,0,1,0
"605",0,1,0,1,0,0,1,0,1,0,0,0,1
"607",0,1,0,0,1,1,0,0,1,0,1,0,0
"610",0,0,0,0,0,0,0,0,0,0,1,0,0
"614",1,0,0,0,0,0,0,0,0,0,0,1,1
"615",0,1,1,1,0,1,0,0,1,1,0,0,1
"620",0,0,0,0,0,0,0,0,0,1,1,0,0
"621",0,1,1,0,0,1,0,0,1,0,1,0,0
"622",1,0,0,0,0,1,0,1,1,0,1,0,1
"623",0,1,1,1,0,0,0,0,0,0,0,1,0
"624",0,0,1,0,0,0,0,0,0,0,0,1,1
"626",0,1,0,0,0,0,0,1,1,0,1,1,0
"629",1,1,1,1,1,1,0,0,1,1,1,0,0
"631",0,0,1,0,1,1,0,0,1,0,1,0,1
"636",0,1,1,0,0,0,0,0,0,0,0,1,1
"638",0,0,0,0,0,0,0,0,1,0,1,1,0
"640",0,0,0,0,0,0,0,0,0,0,1,1,1
"641",1,0,1,1,1,1,0,1,1,1,1,0,0
"644",0,1,0,1,1,1,1,0,1,0,1,0,0
"645",0,0,1,0,0,0,0,0,0,1,1,1,1
"647",0,0,0,0,0,1,0,0,1,0,0,0,0
"648",0,1,0,0,0,1,1,0,1,1,1,0,1
"649",0,1,1,0,0,1,0,0,1,0,1,0,1
"651",0,1,0,0,0,0,0,0,0,0,1,1,1
"656",1,1,1,0,0,1,0,0,1,1,1,0,1
"657",0,1,0,1,0,0,0,0,1,0,0,1,1
"658",0,0,1,0,0,1,0,0,1,0,1,0,0
"659",0,0,1,0,1,1,0,0,1,0,1,0,0
"662",0,0,1,0,0,0,0,0,0,0,0,1,0
"666",1,1,0,0,0,1,0,0,0,0,1,0,0
"669",1,0,0,0,0,0,0,1,1,0,0,0,0
"674",1,1,1,0,0,1,0,0,0,0,0,1,1
"675",0,1,1,1,0,1,0,0,1,0,0,0,1
"679",0,0,0,0,0,1,0,0,1,0,0,0,0
"681",1,0,0,1,1,1,0,0,1,0,1,1,1
"682",0,0,0,0,0,0,0,0,0,0,0,0,0
"685",0,0,0,0,0,0,0,0,0,0,0,1,1
"687",1,1,0,1,0,1,0,0,1,1,1,0,1
"692",0,1,0,0,0,0,0,0,1,0,0,0,0
"693",0,0,0,0,1,1,1,0,1,0,0,1,0
"694",1,1,1,0,0,1,0,0,1,0,1,0,1
"696",0,0,0,0,0,0,0,0,0,0,0,1,0
"699",1,1,0,1,0,0,0,0,1,0,0,0,1
"700",1,1,1,1,1,1,0,0,1,1,1,0,0
"703",0,0,1,0,1,1,0,0,1,1,1,0,1
"704",1,1,0,0,0,0,0,0,1,0,1,0,0
"705",0,1,0,1,0,0,0,0,1,0,1,1,1
"706",0,1,0,0,0,0,0,0,1,0,1,1,0
"707",1,1,0,1,1,1,0,0,0,0,0,0,0
"712",0,0,1,0,0,1,0,0,1,1,1,0,0
"714",0,0,0,1,0,0,0,0,0,0,0,1,1
"715",0,1,0,0,0,0,0,1,1,0,0,1,0
"716",1,1,0,0,0,0,1,0,1,0,0,1,0
"718",0,1,0,1,0,1,0,0,1,0,1,0,1
"720",1,0,0,1,0,1,0,0,0,0,1,1,0
"725",0,1,1,0,0,1,0,0,0,1,1,1,0
"728",0,1,0,0,0,0,0,0,1,0,1,0,1
"730",0,0,1,0,0,1,0,0,1,0,0,1,0
"735",1,1,0,0,0,1,0,0,1,1,1,1,0
"737",0,0,0,1,0,0,0,0,1,0,0,0,0
"740",1,1,0,1,0,0,0,1,1,0,0,1,1
"741",0,0,0,0,0,0,0,0,0,1,1,0,1
"742",1,1,1,0,0,1,0,0,1,0,1,0,1
"743",0,0,0,0,0,0,1,1,1,0,0,0,0
"747",0,0,0,0,0,0,0,0,0,0,0,1,1
"749",0,1,0,1,1,0,1,0,1,0,1,0,0
"754",0,0,1,0,1,1,1,0,1,0,1,0,0
"757",0,1,1,0,0,0,0,0,0,0,1,0,0
"761",0,0,0,1,0,0,0,0,0,0,0,1,1
"762",1,0,1,0,0,1,0,0,1,1,1,0,1
"764",0,1,0,0,0,0,1,0,0,1,1,0,0
"766",0,0,1,0,0,0,0,0,0,0,1,1,0
"770",0,0,0,0,0,1,0,0,1,1,1,0,1
"772",0,1,0,0,0,0,0,1,1,1,0,0,1
"773",0,0,0,0,0,0,0,0,0,0,1,1,1
"776",0,1,0,0,1,0,0,0,0,0,0,1,0
"778",0,1,0,0,0,1,0,1,0,0,1,1,1
"783",0,0,0,1,0,0,0,0,0,0,0,1,1
"786",0,0,1,0,0,0,0,0,0,0,0,1,0
"788",0,1,0,1,1,0,1,0,0,1,0,1,0
"791",1,0,0,1,0,0,0,0,0,0,0,0,1
"798",0,1,1,0,0,1,1,0,1,1,1,0,0
"801",1,1,0,0,0,0,1,0,1,0,0,0,1
"806",0,0,0,0,0,0,0,0,0,0,1,0,0
"807",1,1,1,0,0,1,1,0,1,1,1,0,0
"809",0,0,0,0,0,0,0,0,1,0,0,1,0
"810",0,0,0,0,0,0,0,0,1,0,0,0,1
"812",0,1,0,0,0,0,0,0,0,0,0,1,0
"813",0,0,0,0,0,1,0,0,1,0,1,1,1
"815",0,0,0,0,0,0,0,0,0,0,0,1,0
"816",0,0,1,0,0,1,0,0,1,1,1,0,1
"818",0,0,0,0,0,0,0,0,1,0,0,1,0
"820",0,0,0,0,0,0,0,0,0,0,0,1,0
"821",0,0,1,0,1,1,0,0,1,1,1,0,1
"822",0,1,1,0,1,1,0,0,0,0,1,0,1
"828",1,1,1,0,1,1,0,1,0,1,1,0,0
"833",0,1,0,1,1,0,0,1,1,0,0,1,0
"836",0,1,0,0,0,0,0,0,1,0,0,1,1
"839",0,1,0,1,0,1,0,1,1,0,1,0,1
"840",0,0,1,0,0,1,1,1,1,0,0,0,1
"841",0,0,0,0,0,0,0,0,1,0,0,0,1
"843",0,1,0,0,0,1,0,0,0,1,1,0,1
"845",0,1,1,0,0,1,0,0,1,1,1,0,1
"846",1,1,1,0,0,0,1,0,1,0,0,0,0
"847",0,0,1,0,0,1,0,0,1,0,0,0,0
"849",0,1,0,0,0,0,0,0,0,0,0,1,0
"850",0,0,1,0,0,1,0,0,1,0,0,0,0
"852",0,1,0,0,0,0,0,1,1,1,0,0,1
"858",0,1,0,0,1,0,1,0,1,0,1,1,0
"859",0,1,1,1,0,1,0,0,1,0,1,0,1
"862",0,0,0,0,0,0,0,0,1,0,0,1,1
"863",0,0,0,1,0,0,0,0,0,0,0,1,1
"865",0,1,0,0,1,1,1,0,1,0,1,0,0
"866",0,0,0,1,0,1,0,0,0,1,1,0,1
"872",0,0,0,0,0,0,0,0,0,0,1,1,1
"873",0,0,0,0,0,1,0,0,1,0,1,1,1
"875",0,0,0,0,0,1,0,0,0,0,1,0,1
"876",0,1,0,0,1,1,1,0,1,0,1,0,1
"877",0,0,0,1,0,1,0,0,0,0,0,0,1
"878",0,1,1,1,0,1,0,0,1,0,1,0,1
"879",0,0,1,1,0,1,0,0,1,0,1,0,0
"880",1,1,0,1,0,0,0,1,1,0,1,1,1
"881",1,1,1,0,1,1,0,0,1,1,1,0,1
"883",0,1,0,0,0,0,0,1,0,0,0,1,1
"884",0,0,0,0,0,0,0,0,0,0,0,1,0
"886",0,0,1,0,0,0,0,0,1,0,0,1,0
"889",1,1,0,0,1,1,0,1,1,1,1,0,0
"892",1,1,1,0,0,1,1,0,1,0,0,1,0
"893",0,1,0,0,0,1,0,0,1,0,1,1,1
"897",1,1,1,0,0,0,0,1,1,0,1,0,0
"898",0,0,0,0,0,1,0,0,1,0,1,1,1
"899",0,0,0,0,0,0,0,0,0,0,0,1,0
"901",0,0,0,0,0,1,1,0,0,0,0,1,1
"903",0,1,0,0,0,0,0,0,0,0,1,1,1
"910",1,1,1,0,1,1,0,0,1,1,1,0,1
"914",0,0,0,0,0,1,0,0,1,0,1,0,1
"917",0,1,1,0,0,1,0,0,1,0,1,0,1
"918",1,1,1,0,0,1,1,1,1,0,0,0,1
"921",0,0,1,1,0,1,0,0,1,0,0,0,0
"923",0,0,0,1,1,0,0,0,1,0,1,1,0
"925",0,1,1,0,0,1,0,0,1,0,0,1,1
"928",0,0,1,0,0,0,0,0,0,0,0,1,1
"936",1,1,0,0,0,0,0,0,1,0,0,1,1
"937",0,0,0,0,0,1,0,0,1,0,0,1,1
"938",0,1,0,1,0,0,0,0,1,0,0,1,0
"939",0,0,1,0,0,1,0,0,0,0,1,1,0
"941",1,1,0,0,0,1,1,0,1,1,0,0,0
"944",0,0,0,0,0,0,1,0,0,0,1,1,0
"945",0,0,0,0,0,0,0,0,0,0,0,1,1
"947",0,1,0,0,0,1,1,0,1,0,1,0,1
"948",0,1,0,0,0,0,0,0,1,0,0,1,0
"953",1,1,0,1,1,0,0,0,0,0,0,1,0
"956",0,0,1,1,0,0,0,0,1,0,1,0,0
"958",0,1,0,0,0,0,0,0,1,0,1,1,0
"959",0,0,0,0,0,0,0,0,0,0,1,0,0
"962",0,1,0,0,1,1,0,0,1,0,1,0,0
"963",0,0,0,0,0,0,0,0,0,0,0,1,1
"964",0,0,0,0,0,0,0,0,0,0,1,1,1
"965",1,1,1,0,0,1,0,0,1,1,1,0,1
"967",0,0,1,1,0,0,0,0,1,0,1,0,0
"969",0,1,0,0,0,0,0,0,0,0,1,1,0
"973",1,1,0,0,0,1,1,0,1,0,0,0,0
"975",0,1,1,0,0,1,0,0,0,0,1,0,1
"976",0,0,1,0,0,1,0,0,1,1,1,0,1
"978",1,1,1,1,0,1,1,0,1,0,0,0,0
"979",0,0,0,0,0,1,0,0,1,1,1,1,0
"980",0,0,0,0,0,0,0,0,1,0,0,1,1
"981",1,1,0,0,0,1,0,1,1,0,0,1,0
"984",1,0,1,0,0,1,0,1,1,1,1,0,1
"985",0,1,1,0,0,0,0,0,0,0,0,1,1
"987",1,1,0,1,0,0,0,0,0,0,1,1,1
"988",0,0,0,0,0,1,0,0,0,0,1,0,1
"993",1,1,1,0,1,1,1,0,1,0,1,0,1
"997",1,0,0,0,0,0,0,0,0,0,0,1,0
"998",0,1,0,0,0,0,0,0,0,1,1,0,1
"1002",0,0,0,0,0,0,0,0,0,0,0,1,0
"1004",0,0,0,1,0,0,0,0,1,0,0,1,1
"1007",1,1,0,0,0,1,0,0,1,0,0,1,0
"1010",0,1,0,0,0,0,0,0,1,0,1,0,1
"1015",1,1,1,1,0,1,0,0,0,1,1,0,1
"1016",0,1,0,0,0,0,0,0,0,0,1,0,1
"1017",0,0,0,0,0,0,0,0,0,0,0,1,0
"1019",0,1,0,0,0,0,1,1,1,0,1,0,0
"1020",1,1,1,0,1,1,1,0,1,0,1,0,1
"1021",0,0,0,1,0,0,0,0,0,0,0,1,0
"1022",0,0,0,0,0,1,0,0,0,0,1,0,1
"1023",0,1,1,0,0,1,0,0,0,1,0,1,1
"1024",0,0,0,1,0,1,0,0,1,0,1,1,1
"1025",0,0,0,0,0,0,0,0,1,0,0,1,0
"1026",0,1,1,0,1,1,0,0,1,0,1,0,1
"1027",0,1,0,0,1,0,0,0,0,0,1,1,1
"1030",0,0,1,0,0,0,0,0,0,0,0,1,0
"1031",1,1,0,0,0,0,0,1,1,1,1,1,0
"1036",0,0,1,0,0,1,1,1,1,0,1,0,0
"1037",0,1,0,0,0,1,1,0,1,1,1,0,1
"1038",0,0,0,0,0,0,0,0,0,0,0,1,0
"1039",0,0,0,1,0,0,0,0,0,0,0,1,0
"1041",0,0,1,0,0,1,0,0,1,1,1,0,0
"1044",0,1,1,1,0,1,0,0,1,0,0,0,1
"1045",1,1,1,1,0,1,1,0,1,0,1,0,1
"1047",0,1,0,1,1,1,0,0,1,0,1,0,1
"1048",0,0,0,0,0,0,0,0,0,0,1,1,0
"1053",0,1,0,0,0,1,0,0,1,0,1,0,0
"1056",1,0,0,1,0,0,0,0,1,0,0,1,1
"1058",1,1,0,0,0,1,1,0,1,1,1,0,1
"1060",1,0,0,1,0,0,0,0,0,0,0,1,1
"1063",1,1,0,0,0,1,1,0,1,0,1,0,0
"1064",1,1,0,0,0,1,0,0,0,0,1,0,1
"1065",0,0,0,1,0,0,0,0,0,0,1,1,1
"1066",0,0,0,1,1,1,0,0,1,0,1,0,0
"1067",0,0,0,0,0,1,0,0,1,0,1,0,0
"1071",1,1,1,1,0,0,0,0,1,0,0,1,1
"1075",0,1,0,0,0,0,0,0,0,0,0,1,0
"1076",0,0,0,0,0,0,0,0,1,0,0,1,1
"1078",0,0,0,0,0,0,0,0,1,0,0,1,0
"1083",1,0,0,0,0,1,0,1,1,1,1,1,0
"1084",0,1,1,0,1,1,0,0,1,0,0,1,1
"1087",1,1,1,0,0,1,1,0,1,0,0,0,1
"1088",0,0,0,0,0,0,0,0,0,0,0,1,0
"1089",0,1,0,1,0,0,0,0,1,0,0,1,0
"1090",1,1,1,1,0,0,0,0,0,0,0,1,1
"1091",0,0,0,0,0,0,0,0,0,0,0,1,1
"1092",0,0,0,0,0,1,0,0,1,1,1,0,1
"1093",0,1,1,0,0,1,1,0,1,1,1,0,0
"1094",1,0,0,1,0,0,1,0,0,0,0,0,1
"1096",1,1,0,0,0,0,0,0,1,0,1,0,0
"1097",1,0,0,0,0,0,0,0,0,0,0,1,0
"1099",0,1,0,0,0,1,0,0,1,0,0,1,0
"1105",1,1,1,0,0,1,0,0,1,0,0,0,1
"1107",0,0,0,0,0,0,0,0,0,0,1,0,0
"1111",1,1,0,0,1,0,1,1,0,1,1,1,1
"1114",0,0,0,0,1,1,0,0,1,0,1,0,0
"1115",0,1,0,0,0,0,0,1,1,0,0,1,1
"1117",0,1,0,0,1,0,0,1,1,0,0,1,1
"1118",0,0,0,0,0,0,0,0,0,0,0,1,1
